,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"MASIUK, Ksawery",2004,POL,53.91,26.13
1,"ZHELTYAKOV, Oleksandr",2005,UKR,53.98,26.45
2,"TKACHEV, Aleksei A.",2003,RUS,54.34,26.59
3,"SAKA, Berke",2003,TUR,54.91,26.59
4,"KOSINSKI, Filip",2004,POL,55.31,26.69
5,"HUGOT, Maximilien",2003,FRA,55.43,27.29
6,"LEVTEROV, Kaloyan",2003,BUL,55.44,27.00
7,"BUEVICH, Ivan",2004,BLR,56.36,27.13
8,"MASIUK, Ksawery",2004,POL,54.35,26.47
9,"ZHELTYAKOV, Oleksandr",2005,UKR,54.57,27.03
10,"SAKA, Berke",2003,TUR,55.23,26.85
11,"TKACHEV, Aleksei A.",2003,RUS,55.29,27.02
12,"LEVTEROV, Kaloyan",2003,BUL,55.76,26.70
13,"HUGOT, Maximilien",2003,FRA,55.83,27.49
14,"KOSINSKI, Filip",2004,POL,55.87,26.82
15,"BUEVICH, Ivan",2004,BLR,55.91,27.04
16,"ADAMCHUK, Ivan",2003,BLR,56.06,27.06
17,"FORD, Mark",2003,GBR,56.35,27.30
18,"CHOUCHAOUI, Mathys",2003,FRA,56.40,27.58
19,"JAHN, Cornelius",2003,GER,56.52,27.34
20,"DANZIGER, Inbar",2004,ISR,56.59,27.33
21,"SMYKOV, Arsenii",2005,RUS,56.75,27.72
22,"ACCADIA, Nicolo'",2004,ITA,56.86,27.11
23,"DE PAOLIS, Davide",2003,ITA,56.78,27.16
24,"MASIUK, Ksawery",2004,POL,54.65,26.60
25,"TKACHEV, Aleksei A.",2003,RUS,55.25,27.02
26,"KOSINSKI, Filip",2004,POL,55.51,27.09
27,"ZHELTYAKOV, Oleksandr",2005,UKR,55.60,27.33
28,"SAKA, Berke",2003,TUR,56.03,26.72
29,"ADAMCHUK, Ivan",2003,BLR,56.17,26.97
30,"LEVTEROV, Kaloyan",2003,BUL,56.17,27.44
31,"HUGOT, Maximilien",2003,FRA,56.39,27.55
32,"JAHN, Cornelius",2003,GER,56.40,27.35
33,"DANZIGER, Inbar",2004,ISR,56.63,27.30
34,"FORD, Mark",2003,GBR,56.78,27.22
35,"SMYKOV, Arsenii",2005,RUS,56.80,27.73
36,"MARAANA, Adam",2003,ISR,56.81,27.25
37,"DE PAOLIS, Davide",2003,ITA,56.83,27.54
38,"CHOUCHAOUI, Mathys",2003,FRA,57.01,28.09
39,"ACCADIA, Nicolo'",2004,ITA,57.05,27.44
40,"TAMMARO, Federico",2003,ITA,57.07,27.68
