,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"MILADINOV, Josif",2003,BUL,52.00,24.30
1,"RIBEIRO, Diogo Matos",2004,POR,52.54,24.53
2,"MILDRED, Edward",2003,GBR,52.72,24.92
3,"KOVALENKO, Andriy",2003,UKR,53.42,24.71
4,"KLIMENISHCHEV, Vadim",2003,RUS,53.62,24.73
5,"LAMMERT, Kirill",2003,GER,53.82,25.22
6,"URYNIUK, Pawel",2003,POL,53.83,25.09
7,"ESPERNBERGER, Martin",2003,AUT,53.85,25.20
8,"MILADINOV, Josif",2003,BUL,51.86,24.31
9,"MILDRED, Edward",2003,GBR,52.26,24.78
10,"RIBEIRO, Diogo Matos",2004,POR,52.84,24.71
11,"KOVALENKO, Andriy",2003,UKR,52.99,24.66
12,"URYNIUK, Pawel",2003,POL,53.66,24.73
13,"ESPERNBERGER, Martin",2003,AUT,53.80,24.99
14,"KLIMENISHCHEV, Vadim",2003,RUS,53.88,24.81
15,"LAMMERT, Kirill",2003,GER,53.94,25.46
16,"NAGY, Daniel",2003,HUN,53.97,25.16
17,"RIVIERE, Clement",2003,FRA,54.00,25.20
18,"PETO, Bence",2003,HUN,54.03,25.01
19,"SCHULRATH, Tobias",2003,GER,54.26,24.34
20,"DUTTO, Simone",2003,ITA,54.28,25.27
21,"POPESCU, Denis",2003,ROU,54.33,25.27
22,"GAGNEBIN, Ilan",2004,SUI,54.38,25.45
23,"VAKULYUK, Paulo",2003,POR,54.50,25.12
24,"MILDRED, Edward",2003,GBR,52.75,25.04
25,"MILADINOV, Josif",2003,BUL,53.29,25.16
26,"RIBEIRO, Diogo Matos",2004,POR,53.48,25.08
27,"KOVALENKO, Andriy",2003,UKR,53.88,24.61
28,"PETO, Bence",2003,HUN,53.92,25.18
29,"MASIUK, Ksawery",2004,POL,53.92,25.08
30,"NAGY, Daniel",2003,HUN,54.01,25.31
31,"URYNIUK, Pawel",2003,POL,54.06,24.84
32,"CHMIELEWSKI, Michal",2004,POL,54.14,25.38
33,"LAMMERT, Kirill",2003,GER,54.23,25.51
34,"ESPERNBERGER, Martin",2003,AUT,54.24,25.47
35,"KLIMENISHCHEV, Vadim",2003,RUS,54.41,25.14
36,"DUTTO, Simone",2003,ITA,54.43,25.50
37,"SCHULRATH, Tobias",2003,GER,54.63,25.14
38,"VAKULYUK, Paulo",2003,POR,54.69,24.94
39,"POPESCU, Denis",2003,ROU,54.70,25.00
40,"GAGNEBIN, Ilan",2004,SUI,54.76,25.67
41,"ZUBIK, Jan",2003,POL,54.76,25.28
42,"MIZSEI, Mark",2003,HUN,54.78,25.85
43,"RIVIERE, Clement",2003,FRA,54.84,25.78
44,"NANETTI, Ettore",2003,ITA,54.93,25.36
