,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"ROLET, Loris",2003,FRA,54.44,25.80
1,"FADDA SAUVAGEOT, Romeo-Cesar",2007,FRA,54.90,26.61
2,"CUENIN, Lucas",2004,FRA,55.10,25.93
3,"RAMAUX, Lucas",2004,FRA,55.42,26.95
4,"FERRETTE-PEYRONNET, Nathan",2006,FRA,55.63,27.33
5,"ROLET, Adan",2006,FRA,55.80,26.79
6,"JUSTINE, Nicolas",2006,FRA,56.00,27.58
7,"MERKEL, Luc",2005,FRA,56.12,26.89
8,"MUSITELLI, Enzo",2003,FRA,56.12,27.31
9,"MAZE, Arthur",2004,FRA,56.25,27.55
10,"DERANGERE, Neo",2005,FRA,56.59,27.26
11,"QUERLIN-ORILLARD, Tristan",2006,FRA,56.63,27.39
12,"BAYRAT, Aksel",2004,FRA,56.71,27.21
13,"GILBERT, Florian",2004,FRA,56.74,26.96
14,"ROBIN, Mateo",2005,FRA,57.75,28.10
15,"RAVINET, Yann",2004,FRA,58.42,27.71
16,"GOUSSEAU, Quentin",2007,FRA,1:00.42,29.01
17,"DEFOIS-PERNOT, Oscar",2008,FRA,1:00.61,28.69
18,"PETREMENT, Thomas",2008,FRA,1:02.32,30.16
19,"TCHERNENKO, Owen",2008,FRA,1:02.40,29.67
20,"HAMITI, Yova",2007,FRA,1:02.95,30.13
21,"TRIMAILLE, Constant",2008,FRA,1:03.05,29.32
22,"BOIS, Mahe",2007,FRA,1:03.05,29.76
23,"KLIOUTCHKO, Yael",2009,FRA,1:04.24,30.66
24,"ROLET, Loris",2003,FRA,54.36,26.16
25,"CUENIN, Lucas",2004,FRA,55.18,26.13
26,"FADDA SAUVAGEOT, Romeo-Cesar",2007,FRA,55.37,26.90
27,"MERKEL, Luc",2005,FRA,55.50,26.89
28,"ROLET, Adan",2006,FRA,55.58,26.38
29,"RAMAUX, Lucas",2004,FRA,55.65,26.91
30,"JUSTINE, Nicolas",2006,FRA,55.83,26.82
31,"MUSITELLI, Enzo",2003,FRA,55.84,27.03
32,"BOULARD, Mederick",2003,FRA,56.02,26.90
33,"DERANGERE, Neo",2005,FRA,56.32,26.46
34,"QUERLIN-ORILLARD, Tristan",2006,FRA,56.40,27.21
35,"FERRETTE-PEYRONNET, Nathan",2006,FRA,56.46,27.28
36,"POSTAL, Adrien",2004,FRA,56.67,26.97
37,"MAZE, Arthur",2004,FRA,56.70,27.33
38,"BAYRAT, Aksel",2004,FRA,56.71,27.06
39,"ROBIN, Mateo",2005,FRA,57.05,27.79
40,"GILBERT, Florian",2004,FRA,57.29,27.28
41,"RAVINET, Yann",2004,FRA,57.83,27.70
42,"JOLY, Mathieu",2005,FRA,58.07,28.22
43,"ARNOULD, Mathis",2002,FRA,58.20,27.63
44,"CHAUSSE, Adrian",2004,FRA,58.28,27.82
45,"BOVAY, Theo",2005,FRA,58.31,28.27
